"ï»¿""Data""",Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/mÂ²),Chuva (mm)
01/09/2025,0,"22,6","23,2","22,6","97,0","97,0","91,0","22,1","22,3","21,6","1010,6","1010,6","1010,1","0,6","310,0","1,4",,"0,0"
01/09/2025,100,"22,7","22,7","22,4","99,0","100,0","97,0","22,5","22,5","22,0","1010,6","1010,7","1010,5","0,7","260,0","2,0",,"0,0"
01/09/2025,200,"22,8","22,9","22,6","99,0","100,0","99,0","22,7","22,8","22,4","1010,4","1010,7","1010,4","0,7","163,0","3,3",,"0,2"
01/09/2025,300,"22,1","22,8","22,0","100,0","100,0","99,0","22,1","22,7","22,0","1009,9","1010,4","1009,9","0,4","315,0","2,5",,"0,0"
01/09/2025,400,"21,8","22,1","21,8","100,0","100,0","100,0","21,8","22,1","21,8","1009,5","1009,9","1009,4","0,8","9,0","1,2",,"0,0"
01/09/2025,500,"21,3","21,8","21,2","100,0","100,0","100,0","21,3","21,7","21,2","1009,0","1009,4","1009,0","0,8","298,0","1,3",,"0,2"
01/09/2025,600,"21,2","21,4","21,0",,,,,,,"1008,8","1009,0","1008,7","0,5","272,0","1,3",,"0,0"
01/09/2025,700,"20,8","21,2","20,7",,,,,,,"1008,9","1008,9","1008,7","1,0","261,0","1,6",,"0,0"
01/09/2025,800,"20,6","20,8","20,6",,,,,,,"1009,2","1009,2","1008,8","0,8","273,0","1,8",,"0,0"
01/09/2025,900,"21,1","21,1","20,2",,,,,,,"1009,4","1009,5","1009,2","0,9","266,0","2,0","125,60","0,0"
01/09/2025,1000,"23,9","23,9","21,1","97,0",,,"23,4",,,"1010,1","1010,1","1009,4","0,4","236,0","1,8","710,70","0,0"
01/09/2025,1100,"26,3","26,4","23,8","79,0","97,0","79,0","22,3","23,8","22,0","1010,6","1010,6","1010,1","3,1","104,0","5,3","1074,70","0,0"
01/09/2025,1200,"27,5","27,5","25,7","73,0","80,0","71,0","22,2","22,6","21,1","1010,7","1010,7","1010,6","3,7","99,0","6,9","2150,60","0,0"
01/09/2025,1300,"27,4","27,8","26,2","75,0","77,0","70,0","22,5","22,5","21,0","1010,6","1010,9","1010,6","3,3","95,0","7,5","2269,20","0,0"
01/09/2025,1400,"27,1","28,5","26,7","72,0","75,0","68,0","21,6","22,8","21,0","1010,2","1010,7","1010,2","3,5","100,0","6,7","2921,90","0,0"
01/09/2025,1500,"27,3","28,3","26,6","69,0","75,0","64,0","21,1","22,4","20,2","1009,7","1010,3","1009,7","3,8","106,0","7,4","2754,60","0,0"
01/09/2025,1600,"23,4","27,8","23,4","90,0","90,0","67,0","21,6","23,5","20,6","1009,4","1009,7","1009,1","5,0","132,0","10,8","1371,90","0,2"
01/09/2025,1700,"24,6","24,8","22,0","90,0","100,0","89,0","22,9","23,6","21,4","1008,9","1009,6","1008,9","1,9","78,0","10,8","1190,70","0,6"
01/09/2025,1800,"26,0","26,3","24,6","77,0","90,0","76,0","21,7","23,3","21,2","1008,8","1008,9","1008,7","3,7","109,0","6,9","1362,70","0,0"
01/09/2025,1900,"25,2","26,3","25,1","83,0","83,0","77,0","22,1","22,2","21,5","1008,9","1008,9","1008,8","2,7","87,0","6,6","516,20","0,0"
01/09/2025,2000,"24,5","25,3","24,4","89,0","89,0","83,0","22,6","22,6","21,9","1008,9","1009,0","1008,8","1,5","126,0","4,3","116,80","0,0"
01/09/2025,2100,"23,8","24,6","23,5","91,0","95,0","88,0","22,2","22,9","22,1","1009,3","1009,3","1008,9","2,4","129,0","5,6","2,40","0,0"
01/09/2025,2200,"23,1","23,9","22,7","97,0","97,0","90,0","22,5","22,6","21,7","1009,7","1009,7","1009,3","2,3","125,0","8,4",,"0,4"
01/09/2025,2300,"23,4","23,5","23,0","91,0","97,0","91,0","21,9","22,5","21,6","1010,0","1010,0","1009,6","2,7","124,0","7,0",,"0,0"
02/09/2025,0,"22,7","23,9","22,4","91,0","92,0","86,0","21,1","21,9","20,8","1010,2","1010,4","1010,0","3,5","140,0","9,2",,"0,6"
